IPK,Kehadiran,Jam_Belajar,Organisasi,Penghasilan_Ortu,Jenis_Kelamin,Status_Beasiswa,Lulus_Tepat_Waktu
4.0,89.6,2.1,Ya,Tinggi,Perempuan,Tidak,Ya
2.33,94.8,1.3,Tidak,Sedang,Laki-laki,Ya,Tidak
3.09,92.3,0.6,Tidak,Sedang,Laki-laki,Ya,Tidak
3.4,88.6,3.9,Tidak,Sedang,Laki-laki,Tidak,Ya
3.27,83.3,1.7,Tidak,Sedang,Laki-laki,Tidak,Ya
2.89,67.4,0.5,Tidak,Sedang,Perempuan,Ya,Tidak
3.06,88.3,3.7,Tidak,Rendah,Laki-laki,Tidak,Ya
2.94,86.1,6.7,Ya,Rendah,Laki-laki,Tidak,Ya
2.9,86.7,3.2,Tidak,Rendah,Laki-laki,Tidak,Tidak
3.51,71.2,4.4,Tidak,Sedang,Laki-laki,Tidak,Ya
3.3,73.2,3.3,Ya,Sedang,Perempuan,Tidak,Ya
2.86,94.5,3.1,Tidak,Sedang,Perempuan,Ya,Tidak
3.53,83.6,4.5,Ya,Rendah,Laki-laki,Tidak,Ya
3.28,90.8,2.8,Ya,Tinggi,Laki-laki,Tidak,Ya
3.49,84.3,3.6,Ya,Tinggi,Laki-laki,Tidak,Ya
3.41,84.3,3.7,Ya,Sedang,Laki-laki,Tidak,Ya
2.8,93.4,2.3,Ya,Tinggi,Laki-laki,Ya,Tidak
2.91,78.8,4.6,Tidak,Sedang,Perempuan,Ya,Tidak
3.46,85.0,3.0,Tidak,Tinggi,Perempuan,Ya,Ya
3.41,79.4,2.1,Tidak,Rendah,Perempuan,Tidak,Tidak
3.14,79.7,4.0,Ya,Sedang,Laki-laki,Ya,Tidak
3.2,80.9,1.9,Tidak,Rendah,Laki-laki,Ya,Tidak
3.69,86.2,3.2,Ya,Rendah,Perempuan,Ya,Ya
2.9,79.2,3.2,Ya,Rendah,Perempuan,Tidak,Tidak
3.38,96.6,4.7,Ya,Sedang,Perempuan,Tidak,Ya
3.07,75.1,3.9,Tidak,Sedang,Laki-laki,Tidak,Tidak
3.06,82.1,3.2,Tidak,Sedang,Perempuan,Ya,Tidak
3.61,79.6,4.3,Ya,Rendah,Laki-laki,Tidak,Ya
3.5,98.5,5.1,Ya,Tinggi,Perempuan,Tidak,Ya
3.49,86.0,4.0,Tidak,Sedang,Perempuan,Ya,Ya
3.7,94.3,3.2,Tidak,Sedang,Perempuan,Ya,Ya
3.16,69.1,1.4,Ya,Sedang,Laki-laki,Ya,Tidak
3.44,86.7,1.7,Ya,Rendah,Perempuan,Tidak,Ya
3.02,92.9,2.8,Ya,Sedang,Laki-laki,Ya,Ya
3.29,84.8,2.3,Ya,Tinggi,Laki-laki,Tidak,Ya
3.1,94.7,2.9,Ya,Rendah,Laki-laki,Tidak,Ya
3.19,78.8,3.3,Tidak,Sedang,Perempuan,Tidak,Tidak
3.4,98.1,3.9,Tidak,Tinggi,Laki-laki,Tidak,Ya
2.81,100.0,3.1,Tidak,Sedang,Laki-laki,Tidak,Ya
4.0,80.4,3.9,Tidak,Rendah,Perempuan,Ya,Ya
2.73,79.5,3.3,Ya,Rendah,Laki-laki,Tidak,Ya
2.64,98.5,0.5,Ya,Rendah,Perempuan,Ya,Tidak
3.64,99.8,1.9,Ya,Sedang,Laki-laki,Tidak,Ya
3.48,78.8,3.0,Tidak,Sedang,Laki-laki,Tidak,Tidak
3.41,79.8,1.5,Ya,Rendah,Perempuan,Tidak,Tidak
3.41,81.2,4.0,Ya,Tinggi,Laki-laki,Tidak,Ya
3.14,70.6,5.3,Ya,Sedang,Laki-laki,Tidak,Ya
2.77,74.8,4.9,Ya,Rendah,Perempuan,Tidak,Tidak
3.18,74.0,2.9,Tidak,Sedang,Perempuan,Tidak,Tidak
2.87,76.3,5.3,Tidak,Sedang,Perempuan,Tidak,Ya
3.56,83.7,3.4,Tidak,Rendah,Laki-laki,Tidak,Ya
3.09,86.3,2.7,Tidak,Rendah,Laki-laki,Ya,Tidak
2.8,99.5,2.3,Tidak,Tinggi,Perempuan,Tidak,Tidak
3.02,74.0,2.8,Ya,Sedang,Perempuan,Ya,Tidak
3.32,93.8,2.7,Ya,Sedang,Perempuan,Ya,Ya
2.91,81.9,3.4,Ya,Sedang,Perempuan,Ya,Tidak
2.8,83.5,3.4,Ya,Rendah,Perempuan,Ya,Tidak
3.25,90.7,3.2,Tidak,Rendah,Laki-laki,Tidak,Tidak
3.25,72.8,3.8,Ya,Sedang,Laki-laki,Ya,Tidak
2.94,87.8,4.9,Tidak,Rendah,Perempuan,Ya,Tidak
2.95,85.7,4.5,Tidak,Rendah,Laki-laki,Tidak,Tidak
3.25,88.9,1.1,Tidak,Tinggi,Laki-laki,Tidak,Ya
2.54,86.9,0.5,Tidak,Tinggi,Perempuan,Tidak,Tidak
2.56,100.0,4.5,Tidak,Sedang,Perempuan,Ya,Tidak
2.85,77.6,1.3,Tidak,Tinggi,Laki-laki,Ya,Tidak
3.06,78.7,2.9,Tidak,Rendah,Laki-laki,Tidak,Tidak
3.28,77.8,1.6,Ya,Tinggi,Laki-laki,Tidak,Ya
3.77,78.4,0.7,Tidak,Rendah,Perempuan,Tidak,Ya
3.51,77.6,4.0,Tidak,Tinggi,Perempuan,Tidak,Ya
3.08,95.9,4.3,Tidak,Tinggi,Laki-laki,Ya,Ya
3.14,98.2,2.4,Ya,Sedang,Laki-laki,Tidak,Ya
2.73,78.3,0.5,Tidak,Tinggi,Perempuan,Tidak,Tidak
3.14,75.7,2.4,Tidak,Sedang,Laki-laki,Tidak,Tidak
3.03,88.7,3.7,Tidak,Rendah,Perempuan,Ya,Ya
3.29,78.5,1.1,Tidak,Sedang,Perempuan,Tidak,Tidak
2.8,90.3,3.5,Tidak,Sedang,Laki-laki,Ya,Tidak
3.37,86.0,3.2,Tidak,Rendah,Perempuan,Tidak,Ya
3.79,68.8,4.0,Tidak,Sedang,Laki-laki,Tidak,Ya
3.1,99.5,3.4,Tidak,Tinggi,Laki-laki,Tidak,Ya
3.32,100.0,1.8,Tidak,Rendah,Perempuan,Tidak,Tidak
3.44,77.9,4.9,Ya,Sedang,Laki-laki,Tidak,Ya
2.98,80.1,3.0,Ya,Tinggi,Perempuan,Ya,Tidak
3.24,86.9,3.2,Tidak,Tinggi,Perempuan,Ya,Ya
3.16,87.3,1.9,Tidak,Tinggi,Laki-laki,Ya,Tidak
3.19,90.6,2.6,Ya,Sedang,Laki-laki,Tidak,Ya
2.83,100.0,2.0,Tidak,Tinggi,Laki-laki,Ya,Ya
